item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,lexile,call_number,ddc,lcc,lccn,oclc,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Inquebrantable: Mi Historia, A Mi Manera (Atria Espanol) (Spanish Edition)","Jenni Rivera",Jenni,Rivera,9781476745428,1476745420,"La &uacute;nica autobiograf&iacute;a autorizada de Jenni Rivera &quot;No puedo dejarme atrapar en lo negativo porque eso me destruye. Tal vez lo mejor que puedo hacer es tratar de alejarme de mis problemas y concentrarme en lo positivo. Soy una mujer como cualquier otra y me ocurren cosas feas como a cualquier otra mujer. El n&uacute;mero de veces que me he ca&iacute;do es igual al n&uacute;mero de veces que me he levantado.&quot;Estas son las &uacute;ltimas palabras que la admirada cantante mexicanoamericana Jenni Rivera pronunci&oacute; p&uacute;blicamente antes de subir al avi&oacute;n que al colapsar interrumpi&oacute; su vida el 9 de diciembre de 2012. Sin embargo, esas no fueron las palabras finales que La Diva de la Banda ten&iacute;a para el mundo. Esas se encuentran en las p&aacute;ginas que usted tiene en la mano, la propia narraci&oacute;n de Jenni sobre las altas y bajas de su extraordinaria e inspiradora jornada. Jenni se convirti&oacute; en la m&aacute;s aclamada cantante en espa&ntilde;ol en Estados Unidos y vendi&oacute; m&aacute;s de 15 millones de discos por todo el mundo. Era una madre soltera con cinco hijos y abuela de dos nietas, adem&aacute;s de ser tambi&eacute;n actriz, productora de televisi&oacute;n, estrella de su propio programa de telerrealidad y empresaria. En Inquebrantable, Jenni, con la honestidad que la caracterizaba, relata los momentos cruciales en su pasado y revela sus experiencias de violencia dom&eacute;stica y abuso sexual, divorcio y problemas de imagen corporal, as&iacute; como la manera en que logr&oacute; avanzar en una industria dominada por hombres mientras criaba a sus hijos como madre soltera. Aunque ya no est&aacute; con nosotros, Jenni siempre ser&aacute; la &quot;rebelde Rivera de Long Beach&quot;, la chica que mantuvo su sentido del humor y su esp&iacute;ritu luchador en toda circunstancia. En este extraordinario libro, Jenni deja detr&aacute;s un legado de inspiraci&oacute;n y determinaci&oacute;n que vivir&aacute; para siempre a trav&eacute;s de su preciada familia, sus amigos y sus admiradores. En ese sentido, Jenni Rivera es verdaderamente Inquebrantable.","Atria Books",2013-07-02,,"biografía, mujeres",,,256,,,782.42164092,ML420.R653,,828883639,,,,,,,,,,,,,2019-05-29,1
book,"La reina descalza (Vintage Espanol) (Spanish Edition)","Ildefonso Falcones",Ildefonso,Falcones,9780345805287,0345805283,"Ildefonso Falcones nos propone un viaje a una &eacute;poca apasionante, te&ntilde;ida por los prejuicios y la intolerancia. Desde Sevilla hasta Madrid, desde el tumultuoso bullicio de la gitaner&iacute;a hasta los teatros se&ntilde;oriales de la capital, los lectores disfrutar&aacute;n de un fresco hist&oacute;rico poblado por personajes que viven, aman, sufren y pelean por lo que creen justo. Fiel reflejo de unos hombres y mujeres que no agacharon la cabeza y que alzaron la voz para enfrentarse al orden establecido.",Vintage,2013-04-09,,novela,,,752,,,863.64,PQ6656.A375,2013404841,843221493,,,,,,,,,,,,,2019-05-29,1
book,"Cuentos De Intriga Y Terror/ the Intrigue Tales (Clasicos Universales) (Spanish Edition)","Edgar Allan Poe",Edgar,Poe,9788489163409,8489163405,"Lo digo sin avergonzarme, porque percibo que nace de un profundo sentimiento de lastima y de ternura. 
Edgar Poe, borracho,pobre, perseguido, paria, me agrada mas que, tranquilos y virtuosos...","Jorge a Mestas Ediciones",2005-03-31,,terror,,,160,,,813.3,PS2604,65002612,44555215,,,,,,,,,,,,,2019-05-29,1
book,"Laberinto de Dudas","Nancy C. Sanchez",Nancy,Sanchez,9781597544276,1597544272,,"Editorial Libros en Red",2009-02-01,,novela,,,600,,,813.6,,,566225828,,,,,,,,,,,,,2019-05-29,1
book,"La segunda vida de Bree Tanner / The Short Second Life (Spanish Edition) (La Saga Crepusculo / Twilight Saga)","Stephenie Meyer",Stephenie,Meyer,9781616051426,1616051426,"Esta novela ha sido para mi una sorpresa tan grande como para todo el mundo. Cuando comence a trabajar en ella, mi idea era hacer un simple ejercicio que me ayudara a examinar el otro lado de Eclipse, que se estaba editando en ese momento. Mientras escribia esta pequena historia, se me ocurrio que podria incluirla en mi web como regalo para todos los fans. Despues, una vez que empece a trabajar en Saga Crepusculo: la Guia Oficial de Fans, pense que seria un buen material para este libro. Finalmente, la historia del nuevo vampiro se hizo demasiado extensa convirtiendose asi en una novela. Stephenie MeyerLa segunda vida de Bree Tanner es la fascinante historia de este vampiro y del lado mas oscuro del mundo en el que habita. La novela recrea el nacimiento del nuevo ejercito de vampiros que tiene como unica mision ir al encuentro de la indefensa Bella Swan y de la indestructible familia Cullen.Bree Tanner no solo es una figura prominente en el libro de Eclipse, sino que tambien lo sera en la pelicula basada en este volumen de la Saga Crepusculo, producida por Summit Entertainment. Stephenie Meyer fue muy generosa permitiendome leer el extracto de esta novela mientras preparabamos la pelicula, dice el director David Slade. Disfrute a fondo de esta novela, que ademas nos sirvio como fuente de inspiracion para encontrar las localizaciones de las escenas y comenzar el rodaje. Creo que los fans van a deleitarse con el nacimiento de un vampiro, sus fascinantes caracteristicas y su propia historia.En menos de 5 anos, Stephenie Meyer se ha convertido en un fenomeno editorial mundial. Los derechos de traduccion de la Saga Crepusculo han sido vendidos a mas de 50 paises y ha vendido mas de 100 millones de ejemplares en todo el mundo.",Alfaguara,2010-06-05,,"crepúsculo saga, jóvenes lectores, novela juvenil, series","La segunda vida de Bree Tanner es la fascinante historia de este vampiro y del lado más oscuro del mundo en el que habita. La novela recrea el nacimiento del nuevo ejército de vampiros que tiene como única misión ir al encuentro de la indefensa Bella Swan y de la indestructible familia Cullen.",,232,,,813.6,PZ7.M5717515,,779005438,,,,,,,,,,,,,2019-05-29,1
book,"Cocina informal para amigos/ Informal Cooking for Friends","Pia Fendrik",Pia,Fendrik,9789876120562,9876120565,,"V &amp; R Editorial",2008-01-25,,recetas,,,64,,,641.5,TX643,,212851056,,,,,,,,,,,,,2019-05-29,1
book,"Diario de Stefan. Cronicas Vampiricas (Cronicas Vampiricas (Destino)) (Spanish Edition)","L.J. Smith",L.J.,Smith,9786070713064,6070713060,"Diario de Stefan revela lo que realmente sucedio entre Katherine y los hermanos Salvatore... Comprometido para casarse con alguien a quien no ama, Stefan queda prendado de una joven misteriosa llamada Katherine. Hermosa y seductora, correspondera al amor de Stefan... y al de su hermano Damon.Diario de Stefan revela lo que realmente sucedio entre Katherine y los hermanos Salvatore... Un triangulo amoroso que abarcara toda la eternidad.",Destino,2013-05-24,,"jóvenes lectores, novela juvenil, terror, vampiros",,,608,,,,PZ73,,829951657,,,,,,,,,,,,,2019-05-29,1
book,"Como y Que Comer","Jaime Forero Gomez, Martha Helena Forero Sepulveda",Jaime,Gomez,9781629150475,1629150479,"La contaminacion ambiental y lo que llamamos ""alimentacion chatarra"" son la causa del 90% de las enfermedades actuales incluyendo el cancer, la artritis, la enfermedad inflamatoria intestinal y el Alzheimer. Puede ver mas informacion en http: //www.librosenred.com. [Este texto fue escrito sin tildes ni otros caracteres especiales para evitar errores con el navegador.]","Editorial Libros en Red",2014-08-26,,recetas,,,432,,,613.2,,,894709432,,,,,,,,,,,,,2019-05-29,1
book,"Comida asiatica/ Asian Food (Spanish Edition)",Varios,Varios,Varios,9789707750357,9707750359,,"Grupo Editorial Tomo",2007-06-30,,recetas,,,80,,,641.595,,,70295296,,,,,,,,,,,,,2019-05-29,1
book,Nieve,"Orhan Pamuk",Orhan,Pamuk,9789707701595,9707701595,"En pleno invierno, un poeta y periodista regresa a su ciudad natal, la remota ciudad de Kars en la frontera de Turquía, después de largos años de exilio político en Europa Occidental. La ciudad que encuentra es un lugar conflictivo: hay una ola de suicidios de chicas a las que se les ha prohibido llevar las cabezas cubiertas a la escuela, los islamistas van a ganar las elecciones locales, y el jefe de los servicios de inteligencia es de una eficiencia brutal. La nueva novela del premiado y prestigioso autor de Me llamo Rojo es un thriller político que retrata las más diversas formas de la ambición -el amor, el arte, el poder, la religión- y desenmascara las contradicciones que aprisionan el corazón humano en muchos lugares del mundo islámico.",Alfaguara,2006-03-30,,"novela, thriller",,,504,,,894.3533,PL248.P34,2003065935,71068678,,,,,,,,,,,,,2019-05-29,1
book,"Mamá Otra Vez","Marisa Brel",Marisa,Brel,9788479533298,8479533293,"The desire to be a mother does not know science and rationality, and often encounters difficulties that are not easy to deal with. Marisa Brel is a living testimony that it can be done if there is perseverance, positivity and hope. This is an example of struggle, a breeze of encouragement and unconditional love for all those women who have difficulties to be a mom.","Ediciones Urano S. A.",,,"educación de los hijos, salud",,,160,,,362.198178,,,864285938,,,,,,,,,,,,,2019-05-29,1
book,"Las sandalias del pescador (Spanish Edition)","Morris West",Morris,West,9788498728491,8498728495,"En plena guerra fria, Cirilo Lakota, de origen eslavo, es elegido Papa. Un unico tema parece preocupar a la Iglesia: la renovacion, el constante debate de sus ideas. Tras diecisiete anos de prision en los gulags, Cirilo I ocupa el trono de Pedro. Su antiguo verdugo es ahora el primer ministro de la Union Sovietica: el poder material frente al poder espiritual. La posibilidad de una terrible hambruna se cierne sobre el pueblo ruso, y con ella el peligro de invasion de los paises vecinos y, quizas, un enfrentamiento armado con las potencias occidentales. En esta obra fascinante -llevada al cine con Anthony Quinn en el papel protagonico-, ademas de contarnos una historia extraordinaria, Morris West nos invita a reflexionar sobre el sentido de la justicia, tanto la terrena como la divina.    /    A pope has died, and the corridors of the Vatican hum with intrigue as cardinals from all over the world gather to choose his successor. Suddenly, the election is concluded with a surprise result. The new pope is the youngest cardinal of all - and a Russian. Shoes of the Fisherman slowly unravels the heartwarming and profound story of Kiril Lakota, a cardinal who reluctantly steps out from behind the Iron Curtain to lead the Catholic Church and to grapple with the many issues facing the contemporary world.","Ediciones B",2013-09-30,,"novela histórica",,,320,,,823,PR9619.3.W4,,862067462,,,,,,,,,,,,,2019-05-29,1
book,"Baila, baila, baila (Spanish Edition)","Haruki Murakami",Haruki,Murakami,9788483834251,8483834251,"En marzo de 1983, el joven protagonista de esta novela, redactor freelance todoterreno, despues de pasar dias sombrios, siente la necesidad de volver a ciertos escenarios de su vida para ajustar cuentas con el pasado. Viaja a Sapporo con la intencion de alojarse en el Hotel Delfin, donde anos atras paso una semana con una misteriosa mujer que, de manera inesperada, desaparecio de su lado. A su llegada descubre que han derribado el hotel y que en su lugar se alza otro, moderno y lujoso, pero su estancia alli propicia la aparicion de personajes envueltos en un aura de irrealidad: una guapa recepcionista que ha vivido experiencias inverosimiles, una adolescente dotada de una aguda sensibilidad, o un antiguo companero de colegio, ahora actor de exito, que lo metera en graves aprietos. Asesinatos, viajes a Hawai, pasajes a otros mundos y fiestas se suceden al ritmo de la musica que suena en la radio de su destartalado Subaru. Lo cierto es que, como afirma un enigmatico personaje, todo esta conectado. Porque solo se regresa al Hotel Delfin para poder empezar de nuevo. / As he searches for a mysteriously vanished girlfriend, Haruki Murakami's protagonist plunges into a wind tunnel of sexual violence and metaphysical dread in which he collides with call girls; plays chaperone to a lovely teenaged psychic; and receives cryptic instructions from a shabby but oracular Sheep Man. Dance Dance Dance is a tense, poignant, and often hilarious ride through the cultural Cuisinart that is contemporary Japan, a place where everything that is not up for sale is up for grabs.",Tusquets,2012-11-13,,novela,,,472,,,895.635,PL856.U673,,823772939,,,,,,,,,,,,,2019-05-29,1
book,"Vida feliz de un joven llamado Esteban (Ficcionario)","Santiago Gamboa",Santiago,Gamboa,9788440698728,8440698720,"A lucid and emotional homage to the simple life, this reflective novel plays with the notion that it is only possible to understand one&#039;s own life by reflecting on those of other people. On a snowy day in Paris,&nbsp;Esteban Hinestroza gazes out of his window and loses himself in memories of his 1960s childhood in Colombia. As he sorts through memories of his own&nbsp;past, Esteban recalls the personal history of To&ntilde;o, who loved Delia but couldn&#039;t defend himself against&nbsp;Cory&#039;s jealousy;&nbsp;of the child Ismail, whose family guarded the bones of his dead uncle; and of Federico, an expert in suicides with a profound understanding of interpersonal relationships, particularly those&nbsp;from his own past.","Ediciones B",2007-02-01,,novela,,,263,,,863.99,PQ8180.17.A395,2001447385,45043790,,,,,,,,,,,,,2019-05-29,1
book,"Hijos seguros: Estables, responsables y seguros","J. Valls, J. F. Rinon",J.,Valls,9788427026315,8427026315,"Hijos seguros son aquellos capaces de tener criterio y ser consecuentes, estables, firmes, confiados, sin recelos, ni temores. El papel de los padres es clave en el logro de esa seguridad. Sólo a través de su estímulo y su ejemplo asimilan los niños hábitos de conducta y valores fundamentales como la responsabilidad, la creatividad, el compromiso, la independencia o la tolerancia.","Martinez Roca S A Ediciones",2000-01-01,,"educación de los hijos, salud",,,208,,,,HN283.5,,45852347,,,,,,,,,,,,,2019-05-29,1
book,"Cabello de Angel","Mark Salter",Mark,Salter,9788415115564,8415115563,"Muchos a#65533;os despu#65533;s de haberse conocido siendo a#65533;n adolescentes, Bruno y Francina se reencuentran. El encuentro abre una caja de sorpresas en ambos. Han vivido una vida entera apartes, y ahora, tal vez, les queda por delante una vida nueva. Esta novela autobiogr#65533;fica le permite al lector ser testigo, como espectador indiscreto pero #65533;ntimo, de una nueva posibilidad de amar y de la manera en la cual un reencuentro amoroso puede reinventar el mundo de los que lo viven.","Plataforma Editorial SL",2013-01-01,,novela,,,112,,,813,,,820361638,,,,,,,,,,,,,2019-05-29,1
book,"El Niño Sin Nombre: La lucha de un niño por sobrevivir","Dave Pelzer",Dave,Pelzer,9780757301360,0757301363,"Este libro narra el relato inolvidable de uno de los casos de abuso infantil más graves en la historia de California. Es la historia de Dave Pelzer, quien fue brutalmente golpeado y muerto de hambre por su madre alcohólica e inestable emocionalmente: una madre que jugaba a juegos tortuosos e impredecibles, juegos que lo dejaron casi muerto. Tuvo que aprender a jugar a los juegos de su madre para sobrevivir porque ella ya no lo consideraba un hijo, sino un esclavo; y ya no es un niño, sino un ""eso"". La cama de Dave era un viejo catre militar en el sótano, y su ropa estaba rota y lasciva. Cuando su madre le permitió el lujo de la comida, no eran más que sobras estropeadas que incluso los perros se negaban a comer. El mundo exterior no sabía nada de su pesadilla viviente. No tenía nada o nadie a quien acudir, pero sus sueños lo mantenían con vida: sueños de alguien que lo cuidaba, lo amaba y lo llamaba hijo.","HCI Español",2003-09-01,,biografía,,,195,,,362.76092,HV883.C2,95020792,52927736,,,,,,,,,,,,,2019-05-29,2
book,"Operacion Teheran / The Tehran Initiative (SPANISH) Operacion Teheran / The Tehran Initiative","Joel C. Rosenberg",Joel,Rosenberg,9781414319377,1414319371,"Con el mundo al borde del desastre y pocas opciones viables, el presidente de los Estados Unidos ordena al agente de la CIA David Shirazi y a su equipo que rastreen y saboteen las ojivas nucleares de Irán antes de que Irán o Israel puedan lanzar una devastadora primera operación. Iniciativa de Teherán Autor: Rosenberg, Joel C. Editor: Tyndale House Pub Fecha de publicación: 2012/05/01 Número de páginas: 474 Tipo de encuadernación: PAPERBACK Biblioteca del Congreso:","Tyndale House Pub",2012-05-01,,"ensayo, historia",,,474,,,813.6,PS3618.O832,,797158267,,,,,,,,,,,,,2019-05-29,1
book,"Masaje para bebes","Barbara Ahr",Barbara,Ahr,9780595207459,0595207456,"¡Qué placer masajear a un bebé! Para casi todos los padres es muy natural friccionar al bebé después del baño, jugar con él. Pero, ¿cómo sacarle el máximo provecho a estos masajes? A partir de la combinación de técnicas de masaje -indias, suecas y clásicas- puede contribuir al bienestar y equilibrio del bebé, aliviando los trastornos cotidianos del niño (intranquilidad, dolor de vientre, falta de irrigación sanguínea, etc.). Los gráficos, los resúmenes con todas las instrucciones de masaje, el orden correcto para realizarlo, y para cada parte del cuerpo, una guía particularmente elaborada, le ayudarán a conseguirlo. Las manipulaciones a ejecutar, ilustradas con dibujos, son de fácil realización y se pueden aplicar a la cara, al pecho, el abdomen, la espalda, los brazos, las piernas, etc. en un orden determinado para proporcionar un completo y beneficioso masaje. La autora, Barbara Ahr, es especialista médica en baños, masajista y fisioterapeuta deportiva.","iUniverse, Incorporated",2001-11-12,,"cuidado de los hijos, salud",,,108,,,,,,,,,,,,,,,,,,,2019-05-29,1
book,"Pablo Escobar, el patrón del mal.","Alonso Salazar",Alonso,Salazar,9781614359470,1614359474,"De Pablo Escobar, el famoso narcotraficante colombiano, hemos oido hablar miles de veces por su infinita capacidad para ejercer el mal, que llevo a organismos como la DEA a calificarlo como uno de los mas grandes criminales de la historia. Sin embargo, poco se habla de sus origenes familiares y sociales, de sus dimensiones humanas y de la manera como su personalidad fue evolucionando hasta llegar al desbordamiento. Alonso Salazar J. se sumergio en archivos y busco testimonios ineditos de familiares y vecinos, de amigos y enemigos, para entrelazar en un intenso relato, sin maniqueismo, versiones diversas y contradictorias que al final construyen un retrato mas completo del personaje. Asi, a lo largo de esta historia, Escobar aparece a veces como un guerrero que desperto la admiracion de sectores excluidos que lo consideraron un heroe, y otras, como un villano que hizo de la muerte un negocio, y luego la amplio, con el terror indiscriminado, para someter al Estado y a la sociedad. Aqui se presentan dimensiones intimas, cuadros complejos y humanos, de un hombre que buscaba desesperadamente identidad y reconocimiento, y que amo a su esposa y a sus hijos hasta perder la vida por ellos. Tambien encontramos una radiografia donde Escobar deja de ser un personaje brotado de la nada para convertirse en producto, por un lado, de una sociedad, como la colombiana, plagada de conflictos historicos y, por otro, del gran negocio del final del siglo XX: el trafico de cocai­na. Description in English: Today, the name Pablo Escobar is synonymous to violence. We have all heard thousands of stories of the infamous Colombian drug lord s multi-million dollar enterprise and his infinite capacity for brutality. Very little is known, however, of his origins and human dimension, and of the manner in which his personality gradually spiraled out of control. Antonio Salazar J. dug into archives and searched for previously unrevealed testimonies from relatives, neighbors, friends and enemies, to weave a riveting tale free of interpretations or contradicting versions to provide readers with a more complete portrait of the man behind the figure labeled by the DEA as one of the greatest criminals in history. In this way and throughout the story, Escobar appears at times as the warrior whom marginalized sectors of society considered a hero, the villain who made of death a lucrative business, and the man who was capable through sheer force of terror to subjugate both government and society. Salazar reveals intimate dimensions and complex human aspects of a man in desperate search of identity and recognition, and who so loved his wife and children he gave his life for them. This book can also be viewed as a map that pinpoints where Escobar ceases to be a nameless individual to become a product on the one hand of a society riddled with historical conflict, and on the other, of one of the most lucrative businesses in the late 20th Century: cocaine trafficking.",Aguilar,2012-07-20,,novela,,,344,,,363.45092,HV5805.E82,,890361794,,,,,,,,,,,,,2019-05-29,1
book,"Las Neblinas de Almagro","Eduardo Monteverde",Eduardo,Monteverde,9789707102156,9707102152,"The lives of the indigenous peoples that remain in Mexico are observed in this history that paints them neither as victims or as instigators. Instead, this social study provides a rough sketch of cultural and regional poverty, and the blind eye cast toward it by a country that continues to confuse misery with folklore.","Ediciones B",2006-06-30,,fiction,,,248,,,863.4,F1210,,60694880,,,,,,,,,,,,,2019-05-29,1
book,"Comrendiendo Al Hijo Discapacitado","Valerie Sinason",Valerie,Sinason,9788449306228,8449306221,"Un nino discapacitado es, por encima de cualquier otra consideracion, un nino, con las mismas esperanzas, los mismos temores y los mismos problemas que tienen todos los ninos. Es decir, con su propia personalidad. En muchos paises, un nino minusvalido tiene hoy muchas mas posibilidades de las que otros tuvieron en el pasado. Hoy en dia, las familias, las escuelas, los hospitales y las residencias son mas conscientes que en el pasado de que los ninos tienen, ademas de las conocidas necesidades medicas y educativas, necesidades emocionales muy importantes. Por ejemplo: Planificar su futuro, lo cual da cierta confianza a toda la familia. Contemplar con realismo sus problemas y sus exigencias. Proporcionarle modelos adultos adecuados. Fomentar su capacidad para adaptarse al entorno y crecer emocionalmente. Este libro no puede ocuparse de todos los tipos de discapacidades que existen. Pero hay cosas y cuestiones importantes que nos interesan a todos. Cual es el mejor entorno para un nino discapacitado? Como medir los cambios y el grado de desarrollo cuando las referencias no son las normales? Y sobre todo, que se siente cuando se es diferente?","Ediciones Paidos Iberica,  S.A.",1998-11-01,,"discapacidad, relaciones, salud",,,146,,,649.151,HQ772,,807358790,,,,,,,,,,,,,2019-05-29,1
book,"Aura (Spanish Edition)","Carlos Fuentes",Carlos,Fuentes,9786074451849,6074451842,"Lees ese anuncio: una oferta de esa naturaleza no se hace todos los dias. Lees y relees el aviso. Parece dirigido a ti, a nadie mas: asi comienza Aura, una de las novelas mas embrujantes de la literatura mexicana, una lucida y a la par alucinada exploracion de esa zona del arte donde el horror engendra la hermosura, donde lo verdadero es lo imposible, donde el amor sacrifica la vida y la inmortalidad tiene un precio que algunos estan dispuestos a pagar.",Era,2011-05-11,,novela,,,62,,,863,PQ7297.F793,,852401451,,,,,,,,,,,,,2019-05-29,1
book,"Stop Bullying. Las mejores estrategias para prevenir y frenar el acoso escolar (Spanish Edition)","Nora Rodríguez",Nora,Rodríguez,9788478715824,8478715827,"Bullying is a common phenomenon facing society today. Author Nora Rodríguez puts forth hundreds of strategies, divided by age groups, to educate children on the concepts of solidarity, mutual respect and the importance of resolving conflicts in a positive manner. Only through the involvement of parents and teachers in the detection and prevention of school bullying, will bullied and bullies be able to trust in themselves and grow to become secure human beings.",RBA,2006-04-01,,"educación, relaciones, salud",,,216,,,371.58,BF637.B85,,803342803,,,,,,,,,,,,,2019-05-29,1
